request_id,request_text,blood_group,city,units_needed,response_hours,urgency_label
REQ-2263,"MAYDAY MAYDAY — PICU child bleeding, needs O+ now. Time = life.",O+,Islamabad,5,0.68,critical
REQ-2264,URGENT: Accident victim at PIMS needs O+ blood immediately!,O+,Rawalpindi,5,5.2,urgent
REQ-2265,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Islamabad,4,6.67,medium
REQ-2266,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Islamabad,2,7.4,medium
REQ-2267,Surgery in 12 hours needs 2 units of AB+ blood.,AB+,Rawalpindi,4,22.8,medium
REQ-2268,"Minor procedure planned, looking for A- donors.",A-,Islamabad,1,57.12,low
REQ-2269,Routine pre-op prep requires O+ units by Friday.,O+,Rawalpindi,1,61.17,low
REQ-2270,Post-cardiac surgery critical bleed — AB+ blood — SEND DONOR IMMEDIATELY.,AB+,Rawalpindi,7,0.45,critical
REQ-2271,PPH patient hemorrhaging — A+ blood CRITICAL EMERGENCY.,A+,Rawalpindi,3,4.89,urgent
REQ-2272,Multi-organ failure: B- needed IN THE NEXT HOUR.,B-,Rawalpindi,3,4.74,urgent
REQ-2273,Multi-organ failure: B- needed IN THE NEXT HOUR.,B-,Islamabad,3,5.44,urgent
REQ-2274,"Minor procedure planned, looking for A+ donors.",A+,Rawalpindi,3,51.66,low
REQ-2275,Gunshot wound patient in ICU. Needs O- emergency transfusion!,O-,Islamabad,3,1.86,urgent
REQ-2276,Multi-organ failure: A+ needed IN THE NEXT HOUR.,A+,Islamabad,5,1.56,urgent
REQ-2277,Cancer patient undergoing chemo needs B- blood ASAP.,B-,Rawalpindi,4,23.56,medium
REQ-2278,Gunshot wound patient in ICU. Needs O+ emergency transfusion!,O+,Islamabad,4,3.91,urgent
REQ-2279,Multi-organ failure: B+ needed IN THE NEXT HOUR.,B+,Rawalpindi,4,3.21,urgent
REQ-2280,Surgery in 12 hours needs 2 units of B+ blood.,B+,Rawalpindi,2,10.51,medium
REQ-2281,"Patient admitted with B+ blood shortage, transfusion needed today.",B+,Rawalpindi,3,7.65,medium
REQ-2282,Patient scheduled for elective surgery next week needs A+ blood.,A+,Islamabad,3,65.51,low
REQ-2283,Routine pre-op prep requires O+ units by Friday.,O+,Islamabad,1,28.5,low
REQ-2284,Patient scheduled for elective surgery next week needs A- blood.,A-,Islamabad,1,56.77,low
REQ-2285,Dengue fever patient needs O+ platelets urgently.,O+,Islamabad,3,10.78,medium
REQ-2286,Patient scheduled for elective surgery next week needs B+ blood.,B+,Islamabad,2,42.04,low
REQ-2287,Liver disease patient requires A+ transfusion within hours.,A+,Rawalpindi,4,10.07,medium
REQ-2288,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,2,8.18,medium
REQ-2289,CRITICAL LIFE OR DEATH: Patient on ventilator needs O- THIS MINUTE.,O-,Rawalpindi,5,0.55,critical
REQ-2290,Outpatient anemia treatment needs O+ donors.,O+,Rawalpindi,3,69.4,low
REQ-2291,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,3,14.41,medium
REQ-2292,PPH patient hemorrhaging — B+ blood CRITICAL EMERGENCY.,B+,Islamabad,3,2.22,urgent
REQ-2293,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Islamabad,4,5.31,urgent
REQ-2294,"Patient admitted with B+ blood shortage, transfusion needed today.",B+,Islamabad,3,15.86,medium
REQ-2295,Multi-organ failure: O+ needed IN THE NEXT HOUR.,O+,Rawalpindi,4,2.51,urgent
REQ-2296,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,4,12.75,medium
REQ-2297,Multi-organ failure: A+ needed IN THE NEXT HOUR.,A+,Islamabad,4,5.37,urgent
REQ-2298,Surgery in 12 hours needs 2 units of B+ blood.,B+,Islamabad,2,9.95,medium
REQ-2299,Outpatient anemia treatment needs A+ donors.,A+,Rawalpindi,2,50.54,low
REQ-2300,Liver disease patient requires O+ transfusion within hours.,O+,Rawalpindi,4,20.6,medium
REQ-2301,Gunshot wound patient in ICU. Needs A+ emergency transfusion!,A+,Rawalpindi,4,4.79,urgent
REQ-2302,Surgery in 12 hours needs 2 units of A+ blood.,A+,Islamabad,2,7.15,medium
REQ-2303,Patient scheduled for elective surgery next week needs O+ blood.,O+,Islamabad,2,50.69,low
REQ-2304,Surgery in 12 hours needs 2 units of AB+ blood.,AB+,Islamabad,2,23.16,medium
REQ-2305,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Islamabad,4,22.8,medium
REQ-2306,Gunshot wound patient in ICU. Needs O+ emergency transfusion!,O+,Islamabad,5,3.41,urgent
REQ-2307,"Patient admitted with A- blood shortage, transfusion needed today.",A-,Rawalpindi,3,8.77,medium
REQ-2308,Routine pre-op prep requires A+ units by Friday.,A+,Rawalpindi,2,60.8,low
REQ-2309,Gunshot wound patient in ICU. Needs A+ emergency transfusion!,A+,Islamabad,5,2.19,urgent
REQ-2310,"Patient admitted with B+ blood shortage, transfusion needed today.",B+,Islamabad,3,22.57,medium
REQ-2311,Routine pre-op prep requires B+ units by Friday.,B+,Islamabad,2,43.72,low
REQ-2312,Dengue fever patient needs O+ platelets urgently.,O+,Islamabad,2,9.36,medium
REQ-2313,CODE RED at Holy Family — A+ O- NEEDED NOW OR PATIENT DIES.,A+,Rawalpindi,6,0.44,critical
REQ-2314,Emergency! RTA patient needs B+ — 3 units NOW.,B+,Islamabad,3,3.12,urgent
REQ-2315,Patient scheduled for elective surgery next week needs O+ blood.,O+,Islamabad,3,66.65,low
REQ-2316,"Minor procedure planned, looking for O+ donors.",O+,Islamabad,1,59.84,low
REQ-2317,Surgery in 12 hours needs 2 units of A+ blood.,A+,Islamabad,4,14.69,medium
REQ-2318,CRITICAL LIFE OR DEATH: Patient on ventilator needs AB- THIS MINUTE.,AB-,Islamabad,5,0.55,critical
REQ-2319,Routine pre-op prep requires O- units by Friday.,O-,Islamabad,3,25.94,low
REQ-2320,Surgery in 12 hours needs 2 units of B+ blood.,B+,Islamabad,2,8.58,medium
REQ-2321,Gunshot wound patient in ICU. Needs O+ emergency transfusion!,O+,Islamabad,3,3.25,urgent
REQ-2322,Surgery in 12 hours needs 2 units of A+ blood.,A+,Islamabad,4,15.23,medium
REQ-2323,CRITICAL LIFE OR DEATH: Patient on ventilator needs O- THIS MINUTE.,O-,Rawalpindi,6,0.75,critical
REQ-2324,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Rawalpindi,5,4.41,urgent
REQ-2325,Emergency! RTA patient needs B+ — 3 units NOW.,B+,Rawalpindi,4,3.8,urgent
REQ-2326,PPH patient hemorrhaging — B+ blood CRITICAL EMERGENCY.,B+,Rawalpindi,4,2.97,urgent
REQ-2327,Liver disease patient requires B+ transfusion within hours.,B+,Islamabad,4,19.91,medium
REQ-2328,Routine pre-op prep requires A+ units by Friday.,A+,Rawalpindi,2,57.01,low
REQ-2329,Routine pre-op prep requires B+ units by Friday.,B+,Rawalpindi,2,37.68,low
REQ-2330,Dengue fever patient needs A+ platelets urgently.,A+,Islamabad,3,7.62,medium
REQ-2331,Liver disease patient requires A+ transfusion within hours.,A+,Rawalpindi,4,12.72,medium
REQ-2332,Dengue fever patient needs B+ platelets urgently.,B+,Rawalpindi,3,22.94,medium
REQ-2333,Surgery in 12 hours needs 2 units of B+ blood.,B+,Rawalpindi,3,20.21,medium
REQ-2334,Multi-organ failure: B+ needed IN THE NEXT HOUR.,B+,Rawalpindi,5,4.97,urgent
REQ-2335,Surgery in 12 hours needs 2 units of A+ blood.,A+,Rawalpindi,2,19.73,medium
REQ-2336,"Minor procedure planned, looking for B+ donors.",B+,Rawalpindi,1,28.11,low
REQ-2337,Gunshot wound patient in ICU. Needs A+ emergency transfusion!,A+,Islamabad,3,4.56,urgent
REQ-2338,Multi-organ failure: AB- needed IN THE NEXT HOUR.,AB-,Islamabad,4,1.55,urgent
REQ-2339,"Thalassemia follow-up, requires A- transfusion in 3 days.",A-,Islamabad,2,35.85,low
REQ-2340,Multi-organ failure: O+ needed IN THE NEXT HOUR.,O+,Rawalpindi,3,1.61,urgent
REQ-2341,Emergency! RTA patient needs A+ — 3 units NOW.,A+,Islamabad,4,4.94,urgent
REQ-2342,"Thalassemia follow-up, requires O+ transfusion in 3 days.",O+,Islamabad,3,28.06,low
REQ-2343,Emergency! RTA patient needs B+ — 3 units NOW.,B+,Rawalpindi,4,5.77,urgent
REQ-2344,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Rawalpindi,5,2.06,urgent
REQ-2345,"Minor procedure planned, looking for A+ donors.",A+,Islamabad,3,39.27,low
REQ-2346,"Minor procedure planned, looking for O+ donors.",O+,Islamabad,1,32.93,low
REQ-2347,Liver disease patient requires O+ transfusion within hours.,O+,Rawalpindi,3,10.9,medium
REQ-2348,Surgery in 12 hours needs 2 units of A+ blood.,A+,Islamabad,2,7.71,medium
REQ-2349,"MAYDAY MAYDAY — PICU child bleeding, needs AB- now. Time = life.",AB-,Islamabad,7,0.17,critical
REQ-2350,Cancer patient undergoing chemo needs B+ blood ASAP.,B+,Rawalpindi,2,10.48,medium
REQ-2351,Liver disease patient requires A+ transfusion within hours.,A+,Rawalpindi,3,11.91,medium
REQ-2352,Multi-organ failure: A- needed IN THE NEXT HOUR.,A-,Rawalpindi,3,3.41,urgent
REQ-2353,Routine pre-op prep requires O+ units by Friday.,O+,Rawalpindi,1,70.93,low
REQ-2354,Routine pre-op prep requires AB+ units by Friday.,AB+,Rawalpindi,2,52.44,low
REQ-2355,Multi-organ failure: A+ needed IN THE NEXT HOUR.,A+,Rawalpindi,3,5.01,urgent
REQ-2356,Routine pre-op prep requires O+ units by Friday.,O+,Rawalpindi,1,69.01,low
REQ-2357,"Thalassemia follow-up, requires B+ transfusion in 3 days.",B+,Islamabad,1,57.46,low
REQ-2358,"Thalassemia follow-up, requires A+ transfusion in 3 days.",A+,Rawalpindi,1,37.49,low
REQ-2359,Multi-organ failure: AB+ needed IN THE NEXT HOUR.,AB+,Islamabad,5,4.47,urgent
REQ-2360,Emergency! RTA patient needs A+ — 3 units NOW.,A+,Rawalpindi,4,4.81,urgent
REQ-2361,Outpatient anemia treatment needs B+ donors.,B+,Islamabad,2,64.9,low
REQ-2362,"MAYDAY MAYDAY — PICU child bleeding, needs O- now. Time = life.",O-,Rawalpindi,5,0.97,critical
REQ-2363,PPH patient hemorrhaging — A- blood CRITICAL EMERGENCY.,A-,Islamabad,4,1.64,urgent
REQ-2364,Multi-organ failure: O+ needed IN THE NEXT HOUR.,O+,Rawalpindi,3,1.62,urgent
REQ-2365,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Islamabad,3,11.63,medium
REQ-2366,"Patient admitted with O+ blood shortage, transfusion needed today.",O+,Islamabad,3,10.66,medium
REQ-2367,Emergency! RTA patient needs A+ — 3 units NOW.,A+,Islamabad,4,2.24,urgent
REQ-2368,CRITICAL LIFE OR DEATH: Patient on ventilator needs B- THIS MINUTE.,B-,Islamabad,7,0.54,critical
REQ-2369,PPH patient hemorrhaging — O- blood CRITICAL EMERGENCY.,O-,Islamabad,5,3.34,urgent
REQ-2370,Outpatient anemia treatment needs B+ donors.,B+,Islamabad,2,30.57,low
REQ-2371,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,3,23.33,medium
REQ-2372,"Thalassemia follow-up, requires O+ transfusion in 3 days.",O+,Islamabad,2,59.4,low
REQ-2373,"Patient admitted with B+ blood shortage, transfusion needed today.",B+,Rawalpindi,2,13.67,medium
REQ-2374,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Rawalpindi,3,15.56,medium
REQ-2375,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Islamabad,2,23.73,medium
REQ-2376,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,4,7.3,medium
REQ-2377,"Thalassemia follow-up, requires A- transfusion in 3 days.",A-,Rawalpindi,1,43.6,low
REQ-2378,Routine pre-op prep requires O+ units by Friday.,O+,Islamabad,2,66.47,low
REQ-2379,Liver disease patient requires A+ transfusion within hours.,A+,Rawalpindi,2,17.12,medium
REQ-2380,Liver disease patient requires A+ transfusion within hours.,A+,Islamabad,4,17.58,medium
REQ-2381,Gunshot wound patient in ICU. Needs O+ emergency transfusion!,O+,Rawalpindi,4,2.73,urgent
REQ-2382,Routine pre-op prep requires A+ units by Friday.,A+,Islamabad,1,69.65,low
REQ-2383,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Rawalpindi,2,10.56,medium
REQ-2384,CRITICAL LIFE OR DEATH: Patient on ventilator needs B+ THIS MINUTE.,B+,Rawalpindi,5,0.79,critical
REQ-2385,CODE RED at Holy Family — A+ O- NEEDED NOW OR PATIENT DIES.,A+,Islamabad,7,0.6,critical
REQ-2386,"Minor procedure planned, looking for B+ donors.",B+,Rawalpindi,2,57.43,low
REQ-2387,Liver disease patient requires A+ transfusion within hours.,A+,Rawalpindi,3,10.59,medium
REQ-2388,"ICU patient BP crashing, massive transfusion needed: A+. CALL NOW.",A+,Rawalpindi,6,0.93,critical
REQ-2389,"Thalassemia follow-up, requires B+ transfusion in 3 days.",B+,Rawalpindi,1,25.74,low
REQ-2390,Liver disease patient requires A+ transfusion within hours.,A+,Islamabad,3,16.44,medium
REQ-2391,Outpatient anemia treatment needs O- donors.,O-,Rawalpindi,2,59.84,low
REQ-2392,"MAYDAY MAYDAY — PICU child bleeding, needs A+ now. Time = life.",A+,Rawalpindi,5,0.32,critical
REQ-2393,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Rawalpindi,4,16.04,medium
REQ-2394,CODE RED at Holy Family — O+ O- NEEDED NOW OR PATIENT DIES.,O+,Rawalpindi,7,0.42,critical
REQ-2395,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Islamabad,3,5.9,urgent
REQ-2396,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Islamabad,4,18.22,medium
REQ-2397,URGENT: Accident victim at PIMS needs A+ blood immediately!,A+,Islamabad,3,2.39,urgent
REQ-2398,Routine pre-op prep requires O+ units by Friday.,O+,Rawalpindi,3,34.12,low
REQ-2399,Surgery in 12 hours needs 2 units of A+ blood.,A+,Rawalpindi,3,15.58,medium
REQ-2400,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,2,23.47,medium
REQ-2401,"ICU patient BP crashing, massive transfusion needed: O+. CALL NOW.",O+,Islamabad,5,0.68,critical
REQ-2402,Liver disease patient requires O+ transfusion within hours.,O+,Islamabad,3,10.92,medium
REQ-2403,Gunshot wound patient in ICU. Needs A- emergency transfusion!,A-,Rawalpindi,4,4.61,urgent
REQ-2404,Routine pre-op prep requires B- units by Friday.,B-,Islamabad,3,68.67,low
REQ-2405,Multi-organ failure: A+ needed IN THE NEXT HOUR.,A+,Islamabad,4,5.48,urgent
REQ-2406,"Thalassemia follow-up, requires O+ transfusion in 3 days.",O+,Rawalpindi,1,33.37,low
REQ-2407,CODE RED at Holy Family — A+ O- NEEDED NOW OR PATIENT DIES.,A+,Islamabad,5,0.33,critical
REQ-2408,Routine pre-op prep requires O+ units by Friday.,O+,Islamabad,1,37.67,low
REQ-2409,Surgery in 12 hours needs 2 units of B+ blood.,B+,Rawalpindi,4,8.15,medium
REQ-2410,"Minor procedure planned, looking for B+ donors.",B+,Islamabad,2,52.48,low
REQ-2411,Cancer patient undergoing chemo needs AB+ blood ASAP.,AB+,Rawalpindi,2,22.48,medium
REQ-2412,Post-cardiac surgery critical bleed — B+ blood — SEND DONOR IMMEDIATELY.,B+,Rawalpindi,6,0.69,critical
REQ-2413,Surgery in 12 hours needs 2 units of O+ blood.,O+,Rawalpindi,3,20.23,medium
REQ-2414,"Minor procedure planned, looking for B+ donors.",B+,Islamabad,3,52.63,low
REQ-2415,Cancer patient undergoing chemo needs B- blood ASAP.,B-,Rawalpindi,3,10.58,medium
REQ-2416,Cancer patient undergoing chemo needs A- blood ASAP.,A-,Islamabad,2,23.0,medium
REQ-2417,Surgery in 12 hours needs 2 units of O+ blood.,O+,Rawalpindi,2,20.75,medium
REQ-2418,"Thalassemia follow-up, requires B+ transfusion in 3 days.",B+,Islamabad,2,34.4,low
REQ-2419,"ICU patient BP crashing, massive transfusion needed: AB+. CALL NOW.",AB+,Islamabad,6,0.48,critical
REQ-2420,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Islamabad,2,21.99,medium
REQ-2421,CODE RED at Holy Family — A+ O- NEEDED NOW OR PATIENT DIES.,A+,Islamabad,5,0.57,critical
REQ-2422,Gunshot wound patient in ICU. Needs AB+ emergency transfusion!,AB+,Islamabad,5,1.76,urgent
REQ-2423,URGENT: Accident victim at PIMS needs O+ blood immediately!,O+,Rawalpindi,5,2.69,urgent
REQ-2424,Cancer patient undergoing chemo needs B+ blood ASAP.,B+,Rawalpindi,2,22.4,medium
REQ-2425,CRITICAL LIFE OR DEATH: Patient on ventilator needs B+ THIS MINUTE.,B+,Islamabad,7,0.3,critical
REQ-2426,Emergency! RTA patient needs A+ — 3 units NOW.,A+,Islamabad,4,5.11,urgent
REQ-2427,Routine pre-op prep requires O+ units by Friday.,O+,Islamabad,1,71.26,low
REQ-2428,"Thalassemia follow-up, requires A+ transfusion in 3 days.",A+,Islamabad,2,46.74,low
REQ-2429,Emergency! RTA patient needs AB+ — 3 units NOW.,AB+,Rawalpindi,4,2.05,urgent
REQ-2430,Outpatient anemia treatment needs B+ donors.,B+,Islamabad,3,32.63,low
REQ-2431,PPH patient hemorrhaging — B+ blood CRITICAL EMERGENCY.,B+,Rawalpindi,5,1.6,urgent
REQ-2432,Gunshot wound patient in ICU. Needs A+ emergency transfusion!,A+,Islamabad,3,5.0,urgent
REQ-2433,Dengue fever patient needs A+ platelets urgently.,A+,Islamabad,2,9.36,medium
REQ-2434,CRITICAL LIFE OR DEATH: Patient on ventilator needs O+ THIS MINUTE.,O+,Rawalpindi,7,0.96,critical
REQ-2435,Cancer patient undergoing chemo needs B+ blood ASAP.,B+,Rawalpindi,2,13.56,medium
REQ-2436,"Thalassemia follow-up, requires A+ transfusion in 3 days.",A+,Rawalpindi,1,58.52,low
REQ-2437,Surgery in 12 hours needs 2 units of A+ blood.,A+,Islamabad,2,18.59,medium
REQ-2438,Routine pre-op prep requires O+ units by Friday.,O+,Islamabad,2,38.57,low
REQ-2439,"MAYDAY MAYDAY — PICU child bleeding, needs O- now. Time = life.",O-,Rawalpindi,5,0.85,critical
REQ-2440,PPH patient hemorrhaging — A+ blood CRITICAL EMERGENCY.,A+,Rawalpindi,3,3.71,urgent
REQ-2441,Cancer patient undergoing chemo needs B+ blood ASAP.,B+,Islamabad,3,12.33,medium
REQ-2442,URGENT: Accident victim at PIMS needs A+ blood immediately!,A+,Rawalpindi,5,2.86,urgent
REQ-2443,Liver disease patient requires AB- transfusion within hours.,AB-,Rawalpindi,2,18.13,medium
REQ-2444,Dengue fever patient needs B+ platelets urgently.,B+,Islamabad,3,17.82,medium
REQ-2445,Dengue fever patient needs B+ platelets urgently.,B+,Rawalpindi,4,13.8,medium
REQ-2446,"ICU patient BP crashing, massive transfusion needed: AB-. CALL NOW.",AB-,Islamabad,7,0.72,critical
REQ-2447,Dengue fever patient needs O+ platelets urgently.,O+,Islamabad,2,12.29,medium
REQ-2448,Routine pre-op prep requires O- units by Friday.,O-,Rawalpindi,1,46.52,low
REQ-2449,Emergency! RTA patient needs O+ — 3 units NOW.,O+,Rawalpindi,4,1.78,urgent
REQ-2450,Liver disease patient requires O+ transfusion within hours.,O+,Islamabad,3,13.37,medium
REQ-2451,Gunshot wound patient in ICU. Needs A+ emergency transfusion!,A+,Islamabad,3,4.03,urgent
REQ-2452,Gunshot wound patient in ICU. Needs O- emergency transfusion!,O-,Islamabad,5,1.46,urgent
REQ-2453,Liver disease patient requires O+ transfusion within hours.,O+,Rawalpindi,2,14.93,medium
REQ-2454,Cancer patient undergoing chemo needs AB+ blood ASAP.,AB+,Islamabad,4,9.07,medium
REQ-2455,Gunshot wound patient in ICU. Needs O- emergency transfusion!,O-,Islamabad,5,5.08,urgent
REQ-2456,Outpatient anemia treatment needs A+ donors.,A+,Rawalpindi,3,66.06,low
REQ-2457,Dengue fever patient needs A+ platelets urgently.,A+,Islamabad,4,7.7,medium
REQ-2458,Post-cardiac surgery critical bleed — AB- blood — SEND DONOR IMMEDIATELY.,AB-,Rawalpindi,5,0.51,critical
REQ-2459,Surgery in 12 hours needs 2 units of B- blood.,B-,Rawalpindi,4,11.33,medium
REQ-2460,URGENT: Accident victim at PIMS needs A+ blood immediately!,A+,Islamabad,3,5.07,urgent
REQ-2461,"ICU patient BP crashing, massive transfusion needed: A-. CALL NOW.",A-,Rawalpindi,5,0.75,critical
REQ-2462,URGENT: Accident victim at PIMS needs O+ blood immediately!,O+,Islamabad,5,5.44,urgent
REQ-2463,Patient scheduled for elective surgery next week needs B- blood.,B-,Islamabad,3,62.97,low
REQ-2464,Liver disease patient requires A+ transfusion within hours.,A+,Islamabad,2,22.67,medium
REQ-2465,PPH patient hemorrhaging — B+ blood CRITICAL EMERGENCY.,B+,Islamabad,5,5.37,urgent
REQ-2466,Emergency! RTA patient needs B- — 3 units NOW.,B-,Islamabad,3,1.78,urgent
REQ-2467,Dengue fever patient needs A- platelets urgently.,A-,Rawalpindi,4,18.63,medium
REQ-2468,Liver disease patient requires A+ transfusion within hours.,A+,Islamabad,3,15.39,medium
REQ-2469,Patient scheduled for elective surgery next week needs A- blood.,A-,Rawalpindi,2,24.42,low
REQ-2470,"Thalassemia follow-up, requires B- transfusion in 3 days.",B-,Islamabad,2,57.84,low
REQ-2471,Emergency! RTA patient needs O+ — 3 units NOW.,O+,Islamabad,5,2.36,urgent
REQ-2472,URGENT: Accident victim at PIMS needs O+ blood immediately!,O+,Rawalpindi,5,5.44,urgent
REQ-2473,Gunshot wound patient in ICU. Needs A- emergency transfusion!,A-,Islamabad,3,1.49,urgent
REQ-2474,Surgery in 12 hours needs 2 units of B+ blood.,B+,Islamabad,4,13.66,medium
REQ-2475,Multi-organ failure: O+ needed IN THE NEXT HOUR.,O+,Islamabad,4,5.14,urgent
REQ-2476,Liver disease patient requires AB- transfusion within hours.,AB-,Rawalpindi,3,11.36,medium
REQ-2477,PPH patient hemorrhaging — A+ blood CRITICAL EMERGENCY.,A+,Rawalpindi,3,5.14,urgent
REQ-2478,CODE RED at Holy Family — B+ O- NEEDED NOW OR PATIENT DIES.,B+,Islamabad,7,0.95,critical
REQ-2479,CODE RED at Holy Family — A+ O- NEEDED NOW OR PATIENT DIES.,A+,Islamabad,6,0.55,critical
REQ-2480,Emergency! RTA patient needs A- — 3 units NOW.,A-,Islamabad,3,2.79,urgent
REQ-2481,Dengue fever patient needs B+ platelets urgently.,B+,Islamabad,3,9.37,medium
REQ-2482,Surgery in 12 hours needs 2 units of B+ blood.,B+,Rawalpindi,4,22.08,medium
REQ-2483,Multi-organ failure: B+ needed IN THE NEXT HOUR.,B+,Rawalpindi,3,4.45,urgent
REQ-2484,Emergency! RTA patient needs O+ — 3 units NOW.,O+,Rawalpindi,5,2.23,urgent
REQ-2485,Routine pre-op prep requires O+ units by Friday.,O+,Rawalpindi,1,24.61,low
REQ-2486,Patient scheduled for elective surgery next week needs O+ blood.,O+,Islamabad,2,60.28,low
REQ-2487,Emergency! RTA patient needs O+ — 3 units NOW.,O+,Islamabad,4,4.25,urgent
REQ-2488,CRITICAL LIFE OR DEATH: Patient on ventilator needs B+ THIS MINUTE.,B+,Islamabad,5,0.23,critical
REQ-2489,"Patient admitted with B+ blood shortage, transfusion needed today.",B+,Islamabad,4,9.68,medium
REQ-2490,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Islamabad,3,3.19,urgent
REQ-2491,Outpatient anemia treatment needs A+ donors.,A+,Rawalpindi,1,58.52,low
REQ-2492,URGENT: Accident victim at PIMS needs B+ blood immediately!,B+,Islamabad,4,1.11,urgent
REQ-2493,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Rawalpindi,4,5.43,urgent
REQ-2494,Outpatient anemia treatment needs A+ donors.,A+,Rawalpindi,1,41.84,low
REQ-2495,"Minor procedure planned, looking for O+ donors.",O+,Islamabad,3,30.35,low
REQ-2496,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Rawalpindi,5,5.94,urgent
REQ-2497,Gunshot wound patient in ICU. Needs A- emergency transfusion!,A-,Rawalpindi,3,1.91,urgent
REQ-2498,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Rawalpindi,5,1.22,urgent
REQ-2499,Outpatient anemia treatment needs B- donors.,B-,Rawalpindi,2,44.33,low
REQ-2500,Patient scheduled for elective surgery next week needs O+ blood.,O+,Rawalpindi,1,45.91,low
REQ-2501,"MAYDAY MAYDAY — PICU child bleeding, needs O- now. Time = life.",O-,Rawalpindi,7,0.89,critical
REQ-2502,Patient scheduled for elective surgery next week needs B- blood.,B-,Islamabad,1,64.47,low
REQ-2503,Outpatient anemia treatment needs A+ donors.,A+,Rawalpindi,2,65.12,low
REQ-2504,Multi-organ failure: A+ needed IN THE NEXT HOUR.,A+,Islamabad,4,4.9,urgent
REQ-2505,"Patient admitted with B- blood shortage, transfusion needed today.",B-,Rawalpindi,2,19.69,medium
REQ-2506,Dengue fever patient needs AB+ platelets urgently.,AB+,Rawalpindi,4,21.19,medium
REQ-2507,Dengue fever patient needs A+ platelets urgently.,A+,Rawalpindi,4,22.84,medium
REQ-2508,"MAYDAY MAYDAY — PICU child bleeding, needs AB- now. Time = life.",AB-,Islamabad,5,0.83,critical
REQ-2509,URGENT: Accident victim at PIMS needs O+ blood immediately!,O+,Rawalpindi,3,2.52,urgent
REQ-2510,Routine pre-op prep requires O+ units by Friday.,O+,Rawalpindi,3,64.01,low
REQ-2511,Liver disease patient requires O+ transfusion within hours.,O+,Rawalpindi,3,22.68,medium
REQ-2512,Routine pre-op prep requires A+ units by Friday.,A+,Rawalpindi,2,26.5,low
REQ-2513,Surgery in 12 hours needs 2 units of AB+ blood.,AB+,Islamabad,4,15.53,medium
REQ-2514,Routine pre-op prep requires O+ units by Friday.,O+,Rawalpindi,3,53.41,low
REQ-2515,Liver disease patient requires O+ transfusion within hours.,O+,Islamabad,2,16.99,medium
REQ-2516,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Islamabad,3,19.21,medium
REQ-2517,Patient scheduled for elective surgery next week needs O+ blood.,O+,Rawalpindi,3,33.47,low
REQ-2518,Patient scheduled for elective surgery next week needs B- blood.,B-,Rawalpindi,2,28.77,low
REQ-2519,CODE RED at Holy Family — O+ O- NEEDED NOW OR PATIENT DIES.,O+,Rawalpindi,6,1.0,critical
REQ-2520,"Thalassemia follow-up, requires B+ transfusion in 3 days.",B+,Islamabad,1,67.07,low
REQ-2521,Gunshot wound patient in ICU. Needs A+ emergency transfusion!,A+,Rawalpindi,5,3.21,urgent
REQ-2522,Multi-organ failure: B+ needed IN THE NEXT HOUR.,B+,Rawalpindi,4,3.12,urgent
REQ-2523,Surgery in 12 hours needs 2 units of O+ blood.,O+,Islamabad,3,12.28,medium
REQ-2524,"MAYDAY MAYDAY — PICU child bleeding, needs B+ now. Time = life.",B+,Rawalpindi,7,0.9,critical
REQ-2525,Surgery in 12 hours needs 2 units of O+ blood.,O+,Rawalpindi,3,14.52,medium
REQ-2526,Routine pre-op prep requires B+ units by Friday.,B+,Rawalpindi,1,41.84,low
REQ-2527,Dengue fever patient needs O+ platelets urgently.,O+,Rawalpindi,4,23.44,medium
REQ-2528,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Rawalpindi,3,2.7,urgent
